,state,lat,lng
34588,CO,37.489071,-108.793006
11958,SC,33.782043,-82.211221
27705,MO,39.250994,-92.98736
3241,NY,40.951282,-73.736789
11764,SC,33.994298,-79.181232
1029,NH,42.91035,-71.061621
19683,IN,38.190748,-86.59940999999999
9366,VA,37.016201,-82.603629
26437,IL,38.592037,-88.006738
29999,LA,31.710774,-93.064954
12276,GA,33.875915,-84.454631
28852,NE,40.524522,-97.653621
26994,MO,39.99368,-92.00742
32297,TX,31.101709000000003,-97.40705
32797,TX,29.447225,-96.00352099999999
18305,OH,40.705422,-81.56033000000001
25284,IL,42.07736,-87.729568
7359,DE,39.614779999999996,-75.709128
7448,DE,38.684176,-75.107826
17240,KY,36.697139,-88.282238
40392,WA,46.95957,-122.473193
1918,CT,41.9848,-72.2896
11430,NC,35.627437,-82.192988
18391,OH,40.942533000000005,-82.846255
2008,CT,41.687934999999996,-72.40211500000001
35686,AZ,33.363884000000006,-111.935477
37242,CA,34.149752,-118.36643500000001
17581,OH,39.498645,-82.241262
37582,CA,34.8989,-117.0218
13641,FL,25.843972,-80.41036899999999
17079,KY,37.661645,-83.67853000000001
30136,AR,34.5038,-93.0552
2168,CT,41.3083,-72.9287
1118,ME,44.194834,-70.900717
5129,NY,42.4407,-76.4966
16071,MS,34.061782,-90.82381600000001
24924,MT,48.815692999999996,-104.894472
9549,VA,37.264278999999995,-81.88431
19291,IN,40.916497,-85.281622
11208,NC,34.63641,-78.044986
4724,NY,42.5883,-79.0184
22805,WI,43.518834000000005,-90.916312
6603,PA,40.784296999999995,-76.373028
11756,SC,33.762595000000005,-79.15324
22404,WI,43.07158,-89.42055500000001
23273,MN,44.98,-93.2638
21193,IA,41.458553,-93.06811400000001
29438,LA,29.635193,-91.173144
13480,FL,28.174155,-80.5998
23942,MN,47.758976000000004,-94.677246
23835,MN,46.473113,-94.298186
36360,NM,32.455084,-106.59801999999999
17702,OH,40.821894,-83.313675
16425,MS,30.386707,-89.613906
39677,OR,45.562444,-122.501725
4915,NY,42.8215,-77.6387
34010,TX,31.7589,-106.4866
36333,NM,32.796971,-108.18446399999999
22535,WI,44.205239,-88.164002
6166,PA,41.970876000000004,-77.765594
35391,UT,39.637848,-110.25872
35099,ID,43.6139,-116.2025
7277,PA,40.13033,-75.521458
10237,WV,39.370102,-80.32570799999999
30081,AR,33.928388,-92.445616
14129,FL,26.242099,-81.762694
16207,MS,32.476981,-89.323316
36308,NM,33.184832,-106.96003200000001
38029,CA,35.2839,-120.6701
21987,IA,41.149175,-92.503454
2119,CT,41.27948,-73.033412
11665,SC,34.973817,-82.10023100000001
9248,VA,37.124829999999996,-80.41425600000001
22121,WI,43.235858,-88.12728
24013,MN,48.628656,-95.734181
37774,CA,33.6636,-117.5894
5532,PA,40.547914,-79.555875
10393,WV,38.978132,-79.142409
11567,SC,34.112446999999996,-79.941909
22453,WI,43.458348,-90.267836
373,MA,42.635633,-70.94431800000001
39213,CA,39.7289,-121.8365
15269,TN,35.948726,-86.290984
10192,WV,38.643623999999996,-79.77161600000001
19925,MI,42.650605999999996,-82.926036
3349,NY,41.579564000000005,-74.358946
32988,TX,30.786548,-96.68926
14812,AL,32.229535,-85.733666
37277,CA,34.0689,-118.0268
32205,TX,33.3597,-97.3917
40130,WA,47.448209999999996,-122.277851
2733,NJ,39.545223,-75.41559000000001
7845,MD,38.561143,-77.16968299999999
28055,KS,38.970626,-94.87574599999999
2752,NJ,39.660589,-74.287743
15242,TN,36.0769,-87.3879
4605,NY,44.3008,-76.0192
25308,IL,42.11033,-88.300169
23651,MN,45.542998,-96.555153
28416,KS,37.773821000000005,-97.31866099999999
12156,GA,34.30936,-85.269632
39786,OR,43.104465000000005,-124.354099
38875,CA,37.330131,-120.301728
19341,IN,41.0536,-86.1256
20788,MI,42.9634,-85.6681
7403,DE,39.7459,-75.5466
33731,TX,34.360556,-100.44442099999999
12629,GA,32.530504,-84.147738
16804,KY,37.98406,-84.56111899999999
3386,NY,40.762289,-73.912051
20310,MI,44.073055,-84.046867
22298,WI,42.7263,-87.7829
40724,AK,61.14563199999999,-149.773328
25787,IL,41.471478000000005,-90.31694
40701,WA,46.430172999999996,-118.497824
34382,CO,39.316114,-102.884822
12594,GA,32.849694,-82.70979399999999
18605,OH,39.82213,-84.00994
24640,ND,46.384190000000004,-98.04506500000001
26897,MO,38.4585,-90.3234
15274,TN,36.129102,-86.25484
7154,PA,40.061702000000004,-75.045467
2344,NJ,40.854216,-74.40449699999999
13069,FL,30.155991999999998,-81.643814
37637,CA,34.211236,-117.124233
20206,MI,42.921026,-83.647429
31886,TX,31.958339000000002,-94.845058
1513,ME,44.6859,-69.6332
40199,WA,48.16265,-122.447717
20772,MI,42.9634,-85.6681
11965,SC,33.513751,-81.82404
19138,IN,41.47265,-86.762398
5092,NY,42.319758,-77.84704599999999
10915,NC,35.244282,-81.125253
35580,AZ,33.4486,-112.0733
33557,TX,28.562016999999997,-100.332488
37050,CA,33.818315999999996,-118.223102
361,MA,42.602573,-71.013696
2633,NJ,41.1464,-74.7528
39241,CA,39.374332,-121.080846
460,MA,42.368404999999996,-71.127172
39350,CA,40.5864,-122.3906
7302,PA,40.400978,-75.587049
34001,TX,31.7589,-106.4866
22355,WI,42.781575,-88.93035400000001
8677,VA,38.441348,-77.866682
9937,WV,37.772284,-81.85860600000001
25366,IL,41.9384,-88.4045
15260,TN,36.416826,-86.145742
2346,NJ,40.852622,-74.108346
4468,NY,42.960229,-75.48413599999999
4208,NY,44.852841999999995,-73.777513
25891,IL,40.499915,-90.55934
5346,PA,40.429309,-80.124713
4636,NY,42.399925,-74.9134
19824,IN,39.983878000000004,-87.05552
30585,AR,36.280842,-92.83035
21821,IA,42.945966999999996,-91.95844
26204,IL,39.043351,-90.32089
32525,TX,29.752453000000003,-95.411683
27162,MO,36.141582,-90.176919
37022,CA,33.831326000000004,-118.072919
33092,TX,28.868332000000002,-99.107445
39487,HI,20.902967999999998,-156.544936
28825,NE,40.465301000000004,-96.704173
5157,NY,42.246953999999995,-76.482958
39917,OR,42.722053,-118.66046899999999
29633,LA,30.133411,-93.442264
7714,DC,38.8951,-77.0369
33280,TX,28.072779999999998,-97.94688000000001
34362,CO,38.929656,-105.16716399999999
26112,IL,40.1165,-88.2434
37136,CA,34.143464,-118.76320600000001
5570,PA,40.244774,-79.67454000000001
33965,TX,31.829638,-106.38507
27735,MO,37.700396000000005,-92.117963
11594,SC,34.0009,-81.0353
17915,OH,40.327352000000005,-82.04726600000001
16587,KY,38.449271,-85.190017
33748,TX,33.941103999999996,-102.26138
26277,IL,38.599301000000004,-89.605681
23543,MN,43.738902,-94.23259300000001
6779,PA,40.916068,-75.361538
6179,PA,40.309138,-77.504053
27319,MO,39.334388,-94.70442
15259,TN,36.435182,-86.809947
3954,NY,42.276533,-74.01578
5911,PA,41.369848,-79.510685
10595,NC,35.407016,-78.739058
19244,IN,41.322790000000005,-85.14039
40352,WA,46.787656,-122.817998
27783,MO,37.225108,-93.578921
35374,UT,41.176266999999996,-111.913002
12324,GA,32.262106,-82.125958
37103,CA,34.1478,-118.1436
40803,AK,59.893257999999996,-163.00375
4571,NY,44.590653,-75.447463
38301,CA,37.414968,-122.051724
38253,CA,36.675739,-121.608842
18478,OH,39.232288,-84.107574
36181,NM,36.464714,-108.139779
31902,TX,32.317865999999995,-94.561987
40459,WA,45.85955,-121.146148
40091,WA,47.631975,-122.287411
34915,ID,42.351752000000005,-111.689675
16000,MS,34.229494,-89.907798
6535,PA,40.762217,-76.944424
25699,IL,42.202609,-88.962052
33190,TX,29.473788,-98.612205
18035,OH,41.171481,-82.212594
28623,KS,38.851471000000004,-100.484815
26002,IL,40.695617999999996,-89.434327
35860,AZ,32.157555,-110.840723
30902,OK,34.330056,-97.50118
30490,AR,35.9403,-91.50045
25656,IL,40.464593,-88.34676800000001
35694,AZ,33.241865000000004,-111.729147
5508,PA,40.158113,-79.057864
39550,OR,45.336254,-121.99413799999999
92,MA,42.1015,-72.5905
3915,NY,42.24888,-74.152148
19634,IN,39.298345,-86.651652
10508,NC,35.950208,-79.631599
7091,PA,39.891016,-75.370266
31454,OK,35.847925,-97.043231
21450,IA,43.081815,-92.67246999999999
12802,GA,31.040719,-82.752774
8475,VA,38.9014,-77.2656
12640,GA,32.579021000000004,-83.62814399999999
