id,postal_cd,country_cd,city_name,state,lat,lng,loc
1,00501,US,Holtsville,NY,40.8154000000,-73.0456000000,US-NY-Holtsville-00501
2,00544,US,Holtsville,NY,40.8154000000,-73.0456000000,US-NY-Holtsville-00544
195,01001,US,Agawam,MA,42.0658420000,-72.6209480000,US-MA-Agawam-01001
196,01002,US,Amherst,MA,42.3729010000,-72.4509020000,US-MA-Amherst-01002
197,01003,US,Amherst,MA,42.3911500000,-72.5243160000,US-MA-Amherst-01003
198,01004,US,Amherst,MA,42.3736000000,-72.5209000000,US-MA-Amherst-01004
199,01005,US,Barre,MA,42.4208440000,-72.1062300000,US-MA-Barre-01005
200,01007,US,Belchertown,MA,42.2747980000,-72.4019220000,US-MA-Belchertown-01007
201,01008,US,Blandford,MA,42.1869640000,-72.9561110000,US-MA-Blandford-01008
202,01009,US,Bondsville,MA,42.2075000000,-72.3496000000,US-MA-Bondsville-01009
203,01010,US,Brimfield,MA,42.1266370000,-72.2046170000,US-MA-Brimfield-01010
204,01011,US,Chester,MA,42.2685660000,-72.9808450000,US-MA-Chester-01011
205,01012,US,Chesterfield,MA,42.3653930000,-72.8199140000,US-MA-Chesterfield-01012
206,01013,US,Chicopee,MA,42.1608270000,-72.6033750000,US-MA-Chicopee-01013
207,01014,US,Chicopee,MA,42.1486000000,-72.6085000000,US-MA-Chicopee-01014
208,01020,US,Chicopee,MA,42.1776200000,-72.5625660000,US-MA-Chicopee-01020
209,01021,US,Chicopee,MA,42.1486000000,-72.6085000000,US-MA-Chicopee-01021
210,01022,US,Chicopee,MA,42.1955650000,-72.5424780000,US-MA-Chicopee-01022
211,01026,US,Cummington,MA,42.4410330000,-72.9155730000,US-MA-Cummington-01026
212,01027,US,Easthampton,MA,42.2928950000,-72.7175990000,US-MA-Easthampton-01027
213,01028,US,East Longmeadow,MA,42.0616600000,-72.4987710000,US-MA-East Longmeadow-01028
214,01029,US,East Otis,MA,42.1920330000,-73.0453390000,US-MA-East Otis-01029
215,01030,US,Feeding Hills,MA,42.0704740000,-72.6751740000,US-MA-Feeding Hills-01030
216,01031,US,Gilbertville,MA,42.3611000000,-72.2038200000,US-MA-Gilbertville-01031
217,01032,US,Goshen,MA,42.4544550000,-72.8267140000,US-MA-Goshen-01032
218,01033,US,Granby,MA,42.2579150000,-72.5056830000,US-MA-Granby-01033
